text,label,source
"Earth is flat","fake","https://example.com/earth-flat"
"NASA successfully launched a mission","real","https://nasa.gov/news"
"text","label","sour.ce"
"DepEd announces new school calendar for 2024","real","https://news.abs-cbn.com/news"
"Senate approves bill on student financial assistance","real","https://www.gmanetwork.com/news"
"PH Coast Guard rescues fishermen near Zamboanga","real","https://www.cnnphilippines.com/news"
"DOH warns public against rising dengue cases","real","https://www.inquirer.net"
"Comelec starts nationwide voter registration","real","https://news.abs-cbn.com/news"
"Pagasa reports new low-pressure area entering PAR","real","https://www.gmanetwork.com/news"
"Filipino scientists develop new high-yield rice variety","real","https://www.philstar.com/headlines"
"PH economy grows by 5.9% in Q3 report","real","https://www.cnnphilippines.com/business"
"Local government launches free medical mission in Cebu","real","https://news.abs-cbn.com/news"
"President signs law on digital government services","real","https://www.inquirer.net"
"BIR extends tax filing deadline due to system upgrades","real","https://www.philstar.com/headlines"
"DA assures rice supply stable despite rising demand","real","https://www.gmanetwork.com/news"
"LTO to roll out digital driver's license nationwide","real","https://news.abs-cbn.com/news"
"DOTr announces rehabilitation of MRT-3 by 2025","real","https://www.inquirer.net"
"DSWD provides relief goods to flood-affected families","real","https://news.abs-cbn.com/news"
"DFA opens more passport appointment slots for 2024","real","https://www.philstar.com/headlines"
"PNP to tighten security ahead of holiday season","real","https://www.cnnphilippines.com/news"
"MMDA implements new traffic scheme in Metro Manila","real","https://www.gmanetwork.com/news"
"CHED approves new scholarship programs for 2024","real","https://news.abs-cbn.com/news"
"DOLE reports increase in local employment opportunities","real","https://www.philstar.com/headlines"
"Bill filed to improve internet connectivity nationwide","real","https://www.inquirer.net"
"PH ranks higher in global innovation index","real","https://www.cnnphilippines.com/business"
"POEA warns public against illegal recruiters","real","https://news.abs-cbn.com/news"
"Malacañang declares new list of public holidays for 2024","real","https://www.gmanetwork.com/news"
"NBI arrests cybercrime suspects in entrapment operation","real","https://www.inquirer.net"
"DepEd launches mental health support program for students","real","https://www.philstar.com/headlines"
"TESDA offers new free courses in digital technology","real","https://www.cnnphilippines.com/business"
"Customs seizes smuggled goods worth ₱200 million","real","https://news.abs-cbn.com/business"
"PAGASA says cooler temperatures expected this December","real","https://www.gmanetwork.com/news"
"Makati City opens new public hospital for residents","real","https://www.inquirer.net"
"Government expands rollout of national ID cards","real","https://www.cnnphilippines.com/news"
"DA distributes fertilizer assistance to farmers","real","https://news.abs-cbn.com/business"
"Travel guidelines updated for inbound tourists","real","https://www.gmanetwork.com/news"
"BSP maintains interest rates amid stable inflation","real","https://www.philstar.com/business"
"Local universities improve world ranking for 2024","real","https://www.cnnphilippines.com/news"
"DENR warns against illegal logging activities","real","https://news.abs-cbn.com/news"
"DOST develops low-cost water filtration system","real","https://www.inquirer.net"
"Marawi rehabilitation nears completion","real","https://www.gmanetwork.com/news"
"New Clark City sports facilities open to public","real","https://www.philstar.com/headlines"
"Philippines signs climate resiliency pact with partners","real","https://www.cnnphilippines.com/news"
"Local fishermen report better catch after assistance program","real","https://news.abs-cbn.com/news"
"LGUs prepare evacuation centers for typhoon season","real","https://www.inquirer.net"
"DOH begins vaccination drive for measles-affected areas","real","https://www.gmanetwork.com/news"
"DepEd clarifies guidelines for school uniform policy","real","https://www.philstar.com/headlines"
"COMELEC finalizes candidates list for barangay polls","real","https://www.cnnphilippines.com/news"
"New renewable energy plant inaugurated in Mindanao","real","https://news.abs-cbn.com/business"
"DFA issues travel advisory for Filipinos abroad","real","https://www.inquirer.net"
"DTI warns consumers against substandard appliances","real","https://www.gmanetwork.com/news"
"Philippines, Japan sign defense cooperation pact","real","https://www.cnnphilippines.com/news"
"DOH debunks viral claim about miracle remedy spreading online","real","https://www.inquirer.net"
"Experts clarify viral images related to weather event","real","https://news.abs-cbn.com/news"
"Senate probes allegations of online misinformation campaigns","real","https://www.gmanetwork.com/news"
"Health experts explain how airborne viruses actually spread","real","https://www.cnnphilippines.com/news"
